1, William, 616, Madison, 408,
2, Jacob, 462, Emma, 407,
3, Joshua, 443, Emily, 352,
4, James, 410, Hannah, 334,
5, John, 390, Anna, 308,
6, Christopher, 375, Sarah, 240,
7, Michael, 363, Alexis, 231,
8, Matthew, 324, Olivia, 221,
9, Caleb, 288, Abigail, 218,
10, Austin, 286, Elizabeth, 208,
11, Joseph, 285, Mary, 204,
12, Andrew, 272, Taylor, 190,
13, Ethan, 267, Morgan, 177,
14, Tyler, 266, Alyssa, 174,
15, Jackson, 260, Haley, 171,
16, Samuel, 243, Kayla, 156,
17, David, 242, Brianna, 153,
18, Hunter, 231, Destiny, 150,
19, Logan, 223, Lauren, 150,
20, Jordan, 222, Makayla, 139,
21, Daniel, 221, Savannah, 139,
22, Cameron, 220, Chloe, 138,
23, Jonathan, 215, Ashley, 132,
24, Nicholas, 203, Isabella, 132,
25, Robert, 196, Kaitlyn, 129,
26, Christian, 193, Katelyn, 124,
27, Justin, 189, Victoria, 122,
28, Thomas, 186, Sydney, 119,
29, Charles, 183, Caroline, 115,
30, Dylan, 177, Ella, 112,
31, Zachary, 177, Kaylee, 112,
32, Brandon, 176, Jasmine, 111,
33, Benjamin, 172, Jada, 107,
34, Noah, 162, Jessica, 107,
35, Elijah, 160, Katherine, 105,
36, Anthony, 152, Hailey, 104,
37, Landon, 149, Samantha, 104,
38, Ryan, 148, Jordan, 102,
39, Nathan, 144, Natalie, 102,
40, Mason, 138, Grace, 96,
41, Alexander, 133, Sara, 96,
42, Connor, 126, Autumn, 95,
43, Gabriel, 124, Rachel, 93,
44, Carson, 123, Breanna, 92,
45, Luke, 121, Bailey, 91,
46, Jeremiah, 119, Mackenzie, 91,
47, Jason, 115, Trinity, 89,
48, Devin, 109, Allison, 88,
49, Dalton, 105, Brooklyn, 87,
50, Timothy, 102, Shelby, 81,
51, Gavin, 99, Aaliyah, 80,
52, Hayden, 99, Angel, 80,
53, Kaleb, 99, Zoe, 79,
54, Ashton, 97, Ashlyn, 76,
55, Evan, 97, Gracie, 76,
56, Richard, 96, Megan, 75,
57, Aaron, 93, Kylie, 71,
58, Brody, 93, Lillian, 71,
59, Brian, 87, Gabrielle, 70,
60, Kevin, 87, Amber, 69,
61, Cody, 85, Faith, 69,
62, Jayden, 84, Laura, 69,
63, Eric, 83, Abby, 66,
64, Patrick, 83, Katie, 66,
65, Seth, 82, Courtney, 65,
66, Jalen, 80, Jayla, 65,
67, Preston, 80, Ava, 63,
68, Brady, 79, Alexandria, 62,
69, Isaiah, 79, Brooke, 61,
70, Alex, 78, Kennedy, 61,
71, Jose, 77, Madeline, 60,
72, Steven, 77, Summer, 60,
73, Garrett, 76, Maggie, 58,
74, Antonio, 75, Lily, 57,
75, Blake, 73, Rebecca, 57,
76, Kenneth, 73, Kelsey, 56,
77, Jeremy, 72, Madelyn, 56,
78, Xavier, 72, Margaret, 56,
79, Nathaniel, 71, Riley, 56,
80, Peyton, 70, Avery, 55,
81, Braxton, 68, Raven, 55,
82, Dakota, 68, Claire, 54,
83, Jaden, 66, Maria, 54,
84, Wesley, 66, Erin, 53,
85, Sean, 65, Julia, 53,
86, Ian, 64, Mckenzie, 52,
87, Trenton, 63, Sophia, 52,
88, Brayden, 62, Audrey, 51,
89, Chase, 62, Kathryn, 50,
90, Dawson, 62, Amelia, 49,
91, Parker, 62, Jennifer, 49,
92, Adam, 61, Mallory, 49,
93, Colton, 60, Alexandra, 48,
94, Jack, 60, Jenna, 48,
95, Carter, 59, Reagan, 48,
96, Colby, 59, Sierra, 48,
97, Jeffrey, 59, Catherine, 47,
98, Stephen, 59, Asia, 46,
99, Chandler, 58, Peyton, 46,
100, Lucas, 58, Kendall, 45,