1, Jacob, 333, Emma, 384,
2, Ethan, 296, Emily, 239,
3, Tyler, 237, Madison, 238,
4, Andrew, 215, Olivia, 234,
5, Logan, 214, Grace, 224,
6, Samuel, 204, Hannah, 212,
7, Hunter, 191, Abigail, 210,
8, Alexander, 187, Alexis, 182,
9, Austin, 184, Elizabeth, 169,
10, Nicholas, 184, Lauren, 142,
11, Zachary, 184, Morgan, 140,
12, Carter, 183, Sydney, 135,
13, Dylan, 181, Chloe, 134,
14, Michael, 178, Megan, 133,
15, Joseph, 172, Taylor, 124,
16, Joshua, 172, Anna, 123,
17, Nathan, 170, Ella, 123,
18, William, 164, Isabella, 114,
19, Benjamin, 160, Samantha, 111,
20, Matthew, 158, Hailey, 108,
21, Noah, 157, Kylie, 106,
22, Caleb, 153, Paige, 104,
23, Ryan, 146, Alyssa, 102,
24, Gabriel, 140, Allison, 98,
25, Gavin, 139, Natalie, 97,
26, Carson, 138, Haley, 96,
27, Mason, 137, Ashley, 94,
28, Jackson, 134, Sarah, 93,
29, Cole, 127, Ava, 91,
30, Isaac, 127, Jenna, 91,
31, Luke, 121, Kaitlyn, 91,
32, Brandon, 120, Rachel, 91,
33, Daniel, 119, Jessica, 85,
34, Connor, 118, Katelyn, 83,
35, James, 109, Sophia, 81,
36, Chase, 107, Mackenzie, 79,
37, Lucas, 105, Brianna, 77,
38, Evan, 104, Kayla, 77,
39, Jack, 104, Brooke, 76,
40, Aidan, 103, Kaylee, 76,
41, Anthony, 100, Madeline, 76,
42, Blake, 100, Bailey, 74,
43, Elijah, 99, Faith, 71,
44, Jonathan, 99, Brooklyn, 65,
45, Kaden, 98, Avery, 62,
46, David, 97, Ellie, 62,
47, Thomas, 97, Lily, 61,
48, Christian, 94, Isabelle, 60,
49, Jordan, 92, Makayla, 59,
50, Owen, 92, Riley, 58,
51, Brady, 91, Molly, 57,
52, John, 90, Gabrielle, 55,
53, Alex, 89, Katherine, 55,
54, Caden, 88, Lillian, 54,
55, Cameron, 87, Zoe, 54,
56, Kyle, 87, Jasmine, 53,
57, Wyatt, 82, Kennedy, 53,
58, Christopher, 81, Mia, 53,
59, Brayden, 80, Trinity, 53,
60, Gage, 80, Autumn, 52,
61, Aaron, 79, Claire, 52,
62, Adam, 79, Gracie, 52,
63, Seth, 76, Maria, 52,
64, Tanner, 76, Victoria, 52,
65, Isaiah, 74, Erin, 51,
66, Justin, 74, Jordan, 51,
67, Aiden, 73, Leah, 50,
68, Ashton, 73, Abby, 49,
69, Grant, 73, Rylee, 48,
70, Bryce, 71, Sierra, 48,
71, Cody, 71, Isabel, 47,
72, Devin, 71, Josie, 47,
73, Dakota, 69, Julia, 47,
74, Ian, 68, Shelby, 47,
75, Robert, 68, Kylee, 46,
76, Colton, 65, Savannah, 46,
77, Garrett, 65, Madelyn, 44,
78, Kaleb, 65, Rebecca, 44,
79, Levi, 65, Addison, 42,
80, Parker, 65, Audrey, 42,
81, Brody, 63, Jade, 42,
82, Colin, 62, Destiny, 41,
83, Dalton, 62, Mckenna, 41,
84, Charles, 61, Zoey, 41,
85, Riley, 61, Alexandra, 40,
86, Trevor, 61, Delaney, 40,
87, Landon, 60, Katie, 40,
88, Jason, 53, Marissa, 40,
89, Nolan, 53, Jennifer, 39,
90, Jesse, 52, Jordyn, 39,
91, Maxwell, 52, Macy, 39,
92, Collin, 51, Kelsey, 38,
93, Jayden, 51, Nicole, 38,
94, Brock, 50, Alexa, 37,
95, Jared, 50, Amanda, 37,
96, Cade, 49, Courtney, 37,
97, Conner, 49, Sara, 37,
98, Hayden, 49, Hope, 36,
99, Jose, 49, Ashlyn, 35,
100, Spencer, 49, Cassidy, 35,