1, Jacob, 627, Emily, 473,
2, James, 456, Madison, 448,
3, Ethan, 435, Hannah, 445,
4, William, 429, Emma, 386,
5, Joshua, 368, Abigail, 308,
6, Matthew, 361, Alexis, 308,
7, Andrew, 332, Haley, 292,
8, Zachary, 332, Sarah, 267,
9, Michael, 327, Olivia, 249,
10, Austin, 312, Elizabeth, 218,
11, Dylan, 300, Alyssa, 192,
12, John, 300, Taylor, 188,
13, Logan, 299, Morgan, 180,
14, Tyler, 288, Lauren, 177,
15, Christopher, 285, Chloe, 168,
16, Joseph, 277, Brianna, 166,
17, Caleb, 255, Hailey, 166,
18, Nicholas, 250, Sydney, 165,
19, Samuel, 245, Savannah, 160,
20, Cameron, 239, Kaylee, 155,
21, Hunter, 235, Kaitlyn, 153,
22, David, 227, Grace, 149,
23, Noah, 215, Isabella, 148,
24, Daniel, 203, Shelby, 147,
25, Benjamin, 202, Ashley, 140,
26, Robert, 200, Brooklyn, 140,
27, Elijah, 197, Makayla, 138,
28, Jordan, 195, Kayla, 137,
29, Nathan, 192, Destiny, 133,
30, Brandon, 190, Anna, 132,
31, Justin, 186, Autumn, 126,
32, Ryan, 185, Allison, 123,
33, Jackson, 184, Jessica, 121,
34, Jonathan, 172, Rachel, 117,
35, Alexander, 170, Victoria, 117,
36, Christian, 168, Jasmine, 112,
37, Charles, 164, Megan, 111,
38, Luke, 151, Natalie, 111,
39, Thomas, 150, Jenna, 109,
40, Evan, 147, Katelyn, 109,
41, Dalton, 146, Katherine, 106,
42, Landon, 146, Samantha, 106,
43, Aaron, 145, Amber, 101,
44, Mason, 144, Kylie, 101,
45, Anthony, 143, Mary, 100,
46, Gavin, 140, Mackenzie, 96,
47, Dakota, 136, Courtney, 91,
48, Isaiah, 134, Ella, 89,
49, Gabriel, 133, Gracie, 88,
50, Isaac, 126, Sierra, 87,
51, Jason, 126, Lillian, 85,
52, Brayden, 125, Sara, 83,
53, Nathaniel, 124, Audrey, 81,
54, Connor, 123, Madeline, 81,
55, Timothy, 122, Bailey, 80,
56, Seth, 115, Jordan, 78,
57, Cody, 107, Kelsey, 77,
58, Blake, 106, Kennedy, 77,
59, Kyle, 106, Molly, 77,
60, Hayden, 99, Sophia, 77,
61, Trevor, 98, Gabrielle, 76,
62, Adam, 97, Mckenzie, 76,
63, Chase, 96, Trinity, 75,
64, Lucas, 94, Breanna, 73,
65, Brian, 92, Caroline, 72,
66, Ashton, 89, Rebecca, 69,
67, Devin, 89, Lily, 68,
68, Jayden, 86, Paige, 68,
69, Tanner, 86, Erin, 65,
70, Trenton, 85, Riley, 63,
71, Ian, 84, Faith, 61,
72, Steven, 83, Ava, 60,
73, Colton, 80, Avery, 60,
74, Kevin, 79, Julia, 60,
75, Caden, 78, Alexandria, 59,
76, Aidan, 77, Lindsey, 59,
77, Carson, 77, Brooke, 58,
78, Eric, 77, Zoe, 57,
79, Garrett, 77, Cheyenne, 56,
80, Jeremiah, 76, Hayley, 53,
81, Kaleb, 76, Kathryn, 53,
82, Wesley, 75, Leah, 53,
83, Alex, 74, Brittany, 52,
84, Cole, 74, Danielle, 52,
85, Conner, 73, Katie, 52,
86, Jesse, 72, Lydia, 52,
87, Jack, 71, Maggie, 52,
88, Aiden, 70, Makenzie, 52,
89, Carter, 70, Skylar, 52,
90, Jaden, 69, Jennifer, 51,
91, Dawson, 66, Mallory, 51,
92, Kaden, 66, Angel, 50,
93, Brady, 65, Alexandra, 49,
94, Bryce, 65, Andrea, 49,
95, Stephen, 65, Laura, 48,
96, Travis, 65, Abby, 47,
97, Preston, 63, Harley, 47,
98, Tristan, 63, Madelyn, 47,
99, Grant, 61, Mia, 47,
100, Kenneth, 59, Marissa, 45,