1, Jacob, 1198, Emma, 895,
2, Ethan, 860, Madison, 792,
3, Joshua, 846, Emily, 786,
4, Michael, 839, Olivia, 771,
5, Andrew, 822, Hannah, 646,
6, Joseph, 762, Alexis, 634,
7, Matthew, 760, Grace, 586,
8, Tyler, 720, Abigail, 580,
9, Nicholas, 708, Elizabeth, 486,
10, Ryan, 647, Lauren, 470,
11, Anthony, 645, Sarah, 451,
12, Zachary, 644, Isabella, 449,
13, Alexander, 630, Samantha, 426,
14, Nathan, 605, Alyssa, 425,
15, Logan, 594, Sydney, 403,
16, Christopher, 533, Taylor, 383,
17, Dylan, 531, Morgan, 381,
18, Benjamin, 525, Chloe, 358,
19, David, 502, Hailey, 357,
20, Noah, 498, Anna, 342,
21, James, 494, Ashley, 340,
22, Daniel, 486, Brianna, 337,
23, Austin, 485, Kayla, 335,
24, Evan, 481, Paige, 334,
25, William, 461, Megan, 328,
26, Brandon, 443, Jenna, 305,
27, Samuel, 442, Mackenzie, 304,
28, John, 438, Sophia, 304,
29, Caleb, 434, Natalie, 295,
30, Jack, 428, Ava, 292,
31, Gavin, 426, Rachel, 286,
32, Justin, 422, Brooke, 285,
33, Connor, 418, Allison, 261,
34, Hunter, 413, Jessica, 255,
35, Jordan, 397, Ella, 249,
36, Kyle, 394, Julia, 248,
37, Cameron, 391, Kaitlyn, 242,
38, Gabriel, 389, Autumn, 232,
39, Robert, 386, Gabrielle, 222,
40, Thomas, 378, Haley, 220,
41, Aidan, 377, Jordan, 213,
42, Christian, 376, Destiny, 212,
43, Luke, 361, Makayla, 208,
44, Adam, 341, Victoria, 205,
45, Brendan, 314, Lillian, 201,
46, Aaron, 307, Faith, 195,
47, Jonathan, 304, Katherine, 193,
48, Owen, 288, Riley, 191,
49, Dominic, 286, Zoe, 191,
50, Isaac, 283, Alexandra, 190,
51, Lucas, 281, Jasmine, 188,
52, Jason, 280, Mia, 187,
53, Elijah, 277, Katelyn, 180,
54, Blake, 271, Lily, 179,
55, Mason, 262, Savannah, 177,
56, Ian, 261, Kylie, 176,
57, Kevin, 251, Kaylee, 172,
58, Charles, 249, Leah, 168,
59, Jackson, 241, Claire, 167,
60, Devin, 235, Avery, 164,
61, Aiden, 233, Nicole, 164,
62, Seth, 228, Sara, 160,
63, Alex, 226, Erin, 159,
64, Eric, 226, Madeline, 159,
65, Cole, 223, Kennedy, 156,
66, Cody, 221, Maya, 150,
67, Isaiah, 213, Audrey, 149,
68, Carter, 210, Mya, 148,
69, Nathaniel, 205, Alexandria, 144,
70, Sean, 200, Amanda, 144,
71, Trevor, 198, Rebecca, 144,
72, Steven, 196, Trinity, 142,
73, Chase, 194, Mary, 139,
74, Colin, 192, Amber, 138,
75, Jaden, 188, Danielle, 137,
76, Carson, 183, Lydia, 137,
77, Brian, 178, Maria, 137,
78, Jayden, 176, Isabelle, 135,
79, Ashton, 175, Madelyn, 134,
80, Xavier, 167, Alexa, 133,
81, Hayden, 166, Breanna, 133,
82, Antonio, 164, Shelby, 133,
83, Bryce, 164, Gabriella, 131,
84, Nolan, 161, Sierra, 130,
85, Timothy, 160, Jada, 129,
86, Parker, 155, Mariah, 129,
87, Collin, 154, Brooklyn, 127,
88, Riley, 149, Molly, 127,
89, Jalen, 147, Amelia, 126,
90, Gage, 145, Arianna, 124,
91, Garrett, 145, Andrea, 122,
92, Caden, 136, Marissa, 120,
93, Jeremiah, 134, Angelina, 117,
94, Ali, 133, Isabel, 114,
95, Liam, 132, Skylar, 114,
96, Dakota, 131, Jennifer, 113,
97, Jake, 130, Ariana, 111,
98, Marcus, 130, Jordyn, 111,
99, Kenneth, 128, Jade, 110,
100, Patrick, 128, Angel, 109,