1, Jacob, 589, Emma, 617,
2, Ethan, 496, Grace, 451,
3, Joseph, 453, Emily, 429,
4, Andrew, 452, Olivia, 402,
5, Samuel, 449, Abigail, 368,
6, Tyler, 428, Hannah, 353,
7, Nicholas, 399, Elizabeth, 323,
8, Benjamin, 393, Madison, 304,
9, Zachary, 387, Ella, 294,
10, Joshua, 386, Anna, 272,
11, Jack, 383, Alexis, 271,
12, Alexander, 382, Lauren, 267,
13, Ryan, 381, Samantha, 262,
14, William, 378, Sophia, 259,
15, Logan, 362, Hailey, 249,
16, Matthew, 359, Isabella, 244,
17, Michael, 357, Ava, 238,
18, Dylan, 331, Sydney, 238,
19, Noah, 331, Megan, 227,
20, Nathan, 293, Taylor, 216,
21, Austin, 272, Ashley, 213,
22, Carter, 266, Rachel, 196,
23, Mason, 260, Julia, 195,
24, Isaac, 258, Paige, 193,
25, Gavin, 254, Sarah, 189,
26, Connor, 253, Morgan, 188,
27, Hunter, 253, Natalie, 178,
28, John, 253, Chloe, 173,
29, Caleb, 249, Mackenzie, 158,
30, Anthony, 248, Brooke, 157,
31, Cole, 246, Kayla, 156,
32, Luke, 245, Lily, 156,
33, Thomas, 243, Madeline, 155,
34, Daniel, 242, Alyssa, 147,
35, Evan, 237, Allison, 142,
36, Jackson, 235, Isabelle, 140,
37, David, 225, Jenna, 137,
38, Aidan, 223, Jessica, 133,
39, Owen, 222, Lydia, 130,
40, Riley, 213, Kaitlyn, 128,
41, Brandon, 201, Faith, 126,
42, Blake, 185, Katherine, 125,
43, Kyle, 184, Katelyn, 120,
44, Christopher, 183, Claire, 119,
45, Gabriel, 182, Alexandra, 118,
46, James, 182, Brianna, 118,
47, Charles, 174, Ellie, 118,
48, Aaron, 173, Kylie, 118,
49, Adam, 170, Victoria, 110,
50, Elijah, 170, Lillian, 107,
51, Jonathan, 167, Haley, 104,
52, Jordan, 166, Kaylee, 103,
53, Justin, 165, Madelyn, 103,
54, Alex, 163, Amanda, 95,
55, Brady, 155, Jasmine, 95,
56, Ian, 148, Molly, 94,
57, Cody, 146, Gabrielle, 92,
58, Wyatt, 145, Maria, 92,
59, Isaiah, 142, Erin, 91,
60, Christian, 141, Zoe, 91,
61, Lucas, 141, Avery, 90,
62, Tanner, 139, Annika, 87,
63, Maxwell, 135, Amelia, 86,
64, Cameron, 132, Isabel, 86,
65, Carson, 131, Bailey, 85,
66, Aiden, 128, Jordan, 85,
67, Chase, 127, Audrey, 84,
68, Dominic, 122, Shelby, 84,
69, Henry, 118, Mary, 82,
70, Devin, 115, Leah, 81,
71, Eric, 115, Mikayla, 81,
72, Parker, 113, Makayla, 80,
73, Robert, 110, Savannah, 79,
74, Grant, 106, Nicole, 76,
75, Kevin, 105, Rebecca, 74,
76, Hayden, 101, Jennifer, 73,
77, Jaden, 99, Mya, 73,
78, Jason, 98, Abby, 71,
79, Nathaniel, 93, Riley, 71,
80, Ashton, 92, Alexa, 69,
81, Caden, 92, Courtney, 69,
82, Brayden, 91, Jade, 69,
83, Mitchell, 91, Kendra, 69,
84, Bryce, 89, Amber, 68,
85, Kaden, 88, Evelyn, 68,
86, Jose, 87, Mckenna, 68,
87, Colin, 86, Caroline, 67,
88, Trevor, 86, Mia, 67,
89, Seth, 84, Autumn, 66,
90, Sean, 83, Sophie, 66,
91, Levi, 82, Trinity, 66,
92, Spencer, 80, Laura, 65,
93, Jayden, 79, Margaret, 65,
94, Peter, 76, Mckenzie, 65,
95, Derek, 74, Kate, 64,
96, Tristan, 74, Maya, 64,
97, Jake, 72, Sierra, 64,
98, Brock, 71, Andrea, 63,
99, Jesse, 71, Gracie, 62,
100, Colton, 70, Sara, 61,