1, Jacob, 720, Emma, 635,
2, Ethan, 494, Emily, 539,
3, Tyler, 494, Madison, 490,
4, Andrew, 486, Hannah, 446,
5, William, 458, Abigail, 415,
6, Michael, 457, Olivia, 407,
7, Joshua, 415, Alexis, 384,
8, Joseph, 409, Grace, 373,
9, Logan, 401, Elizabeth, 342,
10, Alexander, 385, Taylor, 294,
11, Matthew, 385, Lauren, 273,
12, Zachary, 365, Alyssa, 266,
13, Austin, 346, Anna, 249,
14, Samuel, 337, Samantha, 237,
15, John, 336, Hailey, 232,
16, Ryan, 334, Chloe, 229,
17, Nicholas, 330, Isabella, 215,
18, Christopher, 322, Sarah, 213,
19, Dylan, 312, Sydney, 213,
20, James, 307, Morgan, 207,
21, Benjamin, 299, Ashley, 201,
22, Hunter, 294, Sophia, 195,
23, Caleb, 285, Megan, 194,
24, Daniel, 281, Natalie, 192,
25, Nathan, 275, Allison, 191,
26, Connor, 270, Paige, 185,
27, Noah, 270, Mackenzie, 184,
28, Anthony, 260, Kaitlyn, 178,
29, David, 260, Haley, 176,
30, Elijah, 255, Kayla, 168,
31, Luke, 250, Makayla, 166,
32, Justin, 248, Brooke, 159,
33, Cameron, 244, Brianna, 157,
34, Mason, 239, Rachel, 157,
35, Brandon, 237, Katherine, 156,
36, Christian, 236, Kaylee, 154,
37, Jackson, 235, Kylie, 153,
38, Gavin, 229, Jessica, 150,
39, Kyle, 228, Ella, 148,
40, Thomas, 228, Savannah, 147,
41, Evan, 227, Victoria, 141,
42, Jack, 218, Katelyn, 139,
43, Gabriel, 216, Jordan, 138,
44, Jordan, 211, Mary, 134,
45, Jonathan, 210, Lillian, 131,
46, Blake, 206, Shelby, 128,
47, Robert, 201, Faith, 127,
48, Aidan, 196, Riley, 127,
49, Isaac, 183, Destiny, 126,
50, Chase, 181, Jasmine, 126,
51, Aaron, 180, Madeline, 121,
52, Landon, 176, Julia, 120,
53, Lucas, 174, Mia, 120,
54, Cole, 173, Ava, 117,
55, Seth, 173, Gabrielle, 114,
56, Grant, 171, Bailey, 112,
57, Charles, 162, Claire, 111,
58, Cody, 162, Jenna, 111,
59, Hayden, 161, Trinity, 109,
60, Carson, 158, Audrey, 108,
61, Ian, 157, Molly, 107,
62, Adam, 156, Sierra, 106,
63, Devin, 152, Cheyenne, 105,
64, Dominic, 148, Lily, 105,
65, Dakota, 142, Zoe, 101,
66, Isaiah, 142, Gracie, 100,
67, Nathaniel, 141, Breanna, 95,
68, Dalton, 138, Avery, 94,
69, Wyatt, 137, Rebecca, 93,
70, Brayden, 134, Autumn, 90,
71, Carter, 134, Lydia, 90,
72, Garrett, 134, Kathryn, 89,
73, Eric, 132, Alexandra, 88,
74, Jason, 130, Courtney, 87,
75, Owen, 130, Kennedy, 86,
76, Kevin, 128, Angel, 84,
77, Trevor, 117, Alexandria, 82,
78, Clayton, 115, Kelsey, 82,
79, Riley, 114, Danielle, 81,
80, Bryce, 113, Katie, 81,
81, Kaden, 113, Amber, 79,
82, Alex, 111, Caroline, 78,
83, Aiden, 109, Jade, 78,
84, Gage, 109, Marissa, 78,
85, Jaden, 109, Amanda, 76,
86, Colton, 107, Addison, 75,
87, Levi, 105, Margaret, 75,
88, Tanner, 105, Nicole, 74,
89, Trenton, 105, Mariah, 73,
90, Steven, 104, Mya, 72,
91, Colin, 101, Rylee, 72,
92, Parker, 100, Jada, 70,
93, Timothy, 99, Brooklyn, 69,
94, Caden, 96, Madelyn, 69,
95, Jeremiah, 96, Kylee, 68,
96, Brian, 94, Ashlyn, 67,
97, Tristan, 94, Sara, 67,
98, Kaleb, 90, Abby, 66,
99, Sean, 88, Amelia, 66,
100, Ashton, 86, Hope, 66,