1, Michael, 1340, Emily, 818,
2, Matthew, 1226, Isabella, 564,
3, Nicholas, 1030, Olivia, 563,
4, Joseph, 925, Emma, 540,
5, Anthony, 887, Samantha, 508,
6, Ryan, 878, Sarah, 502,
7, Christopher, 858, Ashley, 498,
8, Daniel, 852, Julia, 471,
9, Andrew, 758, Kayla, 470,
10, John, 695, Madison, 439,
11, Joshua, 664, Jessica, 434,
12, Justin, 656, Nicole, 403,
13, Alexander, 588, Abigail, 394,
14, David, 583, Victoria, 392,
15, James, 556, Grace, 379,
16, Jacob, 513, Brianna, 375,
17, Kevin, 512, Sophia, 361,
18, Tyler, 507, Alyssa, 359,
19, Brandon, 499, Gianna, 352,
20, William, 497, Alexandra, 324,
21, Thomas, 496, Lauren, 324,
22, Jonathan, 461, Elizabeth, 322,
23, Christian, 452, Hannah, 314,
24, Robert, 443, Rachel, 312,
25, Jason, 433, Ava, 277,
26, Zachary, 431, Alexis, 275,
27, Dylan, 428, Amanda, 275,
28, Brian, 423, Kaitlyn, 270,
29, Jack, 415, Natalie, 253,
30, Sean, 415, Anna, 251,
31, Aidan, 399, Katherine, 250,
32, Ethan, 349, Jennifer, 249,
33, Kyle, 336, Gabriella, 248,
34, Benjamin, 332, Mia, 238,
35, Gabriel, 297, Alexa, 237,
36, Jake, 280, Megan, 236,
37, Samuel, 280, Angelina, 235,
38, Luke, 264, Stephanie, 231,
39, Steven, 256, Sara, 206,
40, Patrick, 254, Rebecca, 203,
41, Connor, 246, Taylor, 201,
42, Elijah, 240, Michelle, 196,
43, Evan, 240, Sydney, 186,
44, Jordan, 237, Morgan, 183,
45, Adam, 235, Danielle, 181,
46, Eric, 234, Jenna, 181,
47, Isaiah, 214, Paige, 180,
48, Bryan, 210, Hailey, 171,
49, Jose, 208, Erin, 170,
50, Colin, 204, Jordan, 169,
51, Noah, 202, Brooke, 167,
52, Angel, 199, Kelly, 162,
53, Aaron, 195, Allison, 158,
54, Charles, 194, Gabrielle, 157,
55, Logan, 193, Christina, 156,
56, Richard, 192, Destiny, 156,
57, Sebastian, 190, Chloe, 154,
58, Alex, 189, Caroline, 152,
59, Timothy, 189, Arianna, 151,
60, Vincent, 189, Jasmine, 151,
61, Luis, 178, Melanie, 150,
62, Gavin, 173, Sofia, 150,
63, Jared, 169, Faith, 147,
64, Ian, 164, Kimberly, 145,
65, Liam, 164, Mackenzie, 145,
66, Julian, 162, Ariana, 137,
67, Peter, 161, Melissa, 137,
68, Lucas, 159, Maya, 135,
69, Owen, 159, Leah, 134,
70, Jeremy, 156, Maria, 133,
71, Nathaniel, 155, Catherine, 123,
72, Jeffrey, 153, Katelyn, 119,
73, Mark, 153, Kylie, 119,
74, Shane, 150, Vanessa, 118,
75, Xavier, 149, Madeline, 117,
76, Aiden, 148, Mary, 112,
77, Jayden, 148, Julianna, 111,
78, Nathan, 143, Gabriela, 109,
79, Brendan, 142, Haley, 109,
80, Carlos, 141, Lily, 109,
81, Antonio, 139, Sabrina, 109,
82, Edward, 134, Juliana, 107,
83, Stephen, 134, Zoe, 107,
84, Juan, 133, Daniela, 106,
85, Jaden, 127, Isabel, 105,
86, Austin, 126, Andrea, 104,
87, Dominic, 126, Marissa, 104,
88, Hunter, 126, Riley, 104,
89, Paul, 126, Adriana, 103,
90, Cole, 120, Angela, 103,
91, Nicolas, 111, Molly, 103,
92, Joel, 110, Carly, 101,
93, Devin, 109, Shannon, 100,
94, Jackson, 108, Amber, 99,
95, Jeremiah, 107, Briana, 99,
96, Kenneth, 106, Jillian, 96,
97, Cameron, 104, Jocelyn, 96,
98, Frank, 103, Ella, 95,
99, Mason, 103, Amy, 92,
100, Gregory, 102, Aaliyah, 90,