1, Jacob, 1008, Madison, 696,
2, William, 983, Emma, 687,
3, Joshua, 883, Emily, 662,
4, Michael, 745, Hannah, 603,
5, Christopher, 728, Abigail, 515,
6, James, 646, Sarah, 488,
7, Matthew, 639, Olivia, 471,
8, Ethan, 622, Elizabeth, 466,
9, Andrew, 613, Anna, 431,
10, John, 583, Ashley, 421,
11, Nicholas, 576, Alexis, 412,
12, Tyler, 545, Taylor, 379,
13, Joseph, 540, Lauren, 365,
14, David, 539, Kayla, 336,
15, Caleb, 523, Haley, 330,
16, Samuel, 495, Sydney, 329,
17, Zachary, 484, Brianna, 315,
18, Brandon, 482, Chloe, 311,
19, Daniel, 472, Samantha, 295,
20, Dylan, 464, Jessica, 293,
21, Christian, 462, Caroline, 290,
22, Alexander, 452, Grace, 285,
23, Jonathan, 451, Alyssa, 284,
24, Cameron, 448, Makayla, 279,
25, Austin, 441, Savannah, 276,
26, Ryan, 440, Victoria, 262,
27, Noah, 431, Morgan, 260,
28, Justin, 429, Hailey, 258,
29, Elijah, 427, Kaitlyn, 255,
30, Jackson, 402, Rachel, 252,
31, Benjamin, 401, Jennifer, 248,
32, Logan, 390, Katherine, 245,
33, Nathan, 369, Mary, 244,
34, Anthony, 367, Destiny, 238,
35, Robert, 367, Jasmine, 227,
36, Thomas, 351, Mackenzie, 218,
37, Hunter, 347, Megan, 215,
38, Kevin, 324, Isabella, 212,
39, Jordan, 321, Jada, 203,
40, Gabriel, 318, Jordan, 190,
41, Jose, 312, Natalie, 190,
42, Isaiah, 301, Trinity, 185,
43, Luke, 296, Maria, 182,
44, Charles, 295, Lillian, 172,
45, Jason, 280, Katelyn, 168,
46, Connor, 270, Kaylee, 168,
47, Gavin, 249, Alexandra, 167,
48, Landon, 248, Allison, 166,
49, Evan, 246, Ava, 165,
50, Mason, 243, Ella, 161,
51, Aaron, 242, Sophia, 158,
52, Eric, 221, Julia, 152,
53, Isaac, 219, Faith, 148,
54, Aidan, 211, Sara, 148,
55, Bryan, 211, Sierra, 148,
56, Carson, 209, Zoe, 147,
57, Adam, 205, Autumn, 146,
58, Timothy, 204, Kimberly, 144,
59, Nathaniel, 202, Jenna, 143,
60, Luis, 199, Mia, 137,
61, Chase, 195, Courtney, 136,
62, Juan, 184, Gracie, 134,
63, Jeremiah, 181, Stephanie, 131,
64, Jayden, 180, Riley, 130,
65, Seth, 178, Brooke, 129,
66, Jack, 177, Amber, 128,
67, Brian, 170, Kylie, 127,
68, Cody, 170, Gabrielle, 126,
69, Ian, 164, Nicole, 125,
70, Kyle, 163, Leah, 123,
71, Richard, 163, Madeline, 123,
72, Blake, 160, Aaliyah, 121,
73, Alex, 158, Rebecca, 120,
74, Devin, 155, Bailey, 119,
75, Jalen, 150, Katie, 114,
76, Steven, 147, Michelle, 114,
77, Garrett, 146, Shelby, 114,
78, Lucas, 146, Breanna, 113,
79, Jaden, 145, Kendall, 113,
80, Xavier, 144, Lily, 111,
81, Sean, 143, Ana, 110,
82, Dalton, 140, Skylar, 110,
83, Patrick, 139, Kathryn, 106,
84, Angel, 138, Angel, 105,
85, Jesse, 135, Ashlyn, 104,
86, Aiden, 134, Avery, 102,
87, Bryson, 132, Laura, 102,
88, Riley, 131, Lydia, 100,
89, Carlos, 130, Claire, 97,
90, Hayden, 130, Isabel, 97,
91, Ashton, 128, Kennedy, 97,
92, Kaleb, 127, Paige, 95,
93, Colin, 126, Amanda, 93,
94, Jeremy, 126, Catherine, 93,
95, Jesus, 126, Erin, 93,
96, Antonio, 125, Margaret, 93,
97, Cole, 125, Reagan, 92,
98, Trevor, 124, Andrea, 91,
99, Owen, 122, Madelyn, 91,
100, Stephen, 118, Summer, 91,