1, Jacob, 1481, Emma, 1179,
2, Andrew, 1078, Madison, 1020,
3, Michael, 1045, Emily, 1009,
4, Ethan, 992, Olivia, 863,
5, Joshua, 947, Hannah, 851,
6, Nicholas, 900, Abigail, 833,
7, Joseph, 895, Grace, 720,
8, Tyler, 893, Alexis, 714,
9, Matthew, 864, Elizabeth, 571,
10, Zachary, 807, Sarah, 547,
11, Ryan, 801, Taylor, 543,
12, William, 781, Lauren, 525,
13, Logan, 778, Alyssa, 509,
14, Alexander, 756, Samantha, 498,
15, Anthony, 725, Sydney, 493,
16, Dylan, 715, Morgan, 488,
17, Nathan, 710, Isabella, 461,
18, James, 708, Chloe, 443,
19, Samuel, 670, Megan, 437,
20, Austin, 662, Sophia, 427,
21, Christopher, 646, Kayla, 408,
22, Benjamin, 638, Ashley, 394,
23, John, 619, Hailey, 394,
24, David, 599, Brianna, 386,
25, Brandon, 592, Anna, 385,
26, Noah, 590, Paige, 382,
27, Daniel, 574, Haley, 369,
28, Caleb, 549, Rachel, 361,
29, Evan, 531, Jenna, 355,
30, Cameron, 520, Kylie, 351,
31, Hunter, 498, Kaitlyn, 344,
32, Connor, 487, Allison, 343,
33, Robert, 483, Mackenzie, 326,
34, Luke, 480, Brooke, 313,
35, Gavin, 477, Jessica, 297,
36, Justin, 470, Julia, 294,
37, Elijah, 459, Ava, 292,
38, Thomas, 454, Natalie, 291,
39, Kyle, 445, Faith, 285,
40, Gabriel, 420, Makayla, 283,
41, Jordan, 416, Savannah, 275,
42, Mason, 414, Katherine, 268,
43, Jonathan, 401, Lillian, 266,
44, Aaron, 396, Destiny, 258,
45, Aidan, 396, Victoria, 258,
46, Adam, 394, Ella, 256,
47, Jack, 381, Riley, 256,
48, Isaiah, 371, Trinity, 254,
49, Owen, 367, Autumn, 230,
50, Charles, 366, Audrey, 229,
51, Christian, 355, Katelyn, 227,
52, Jason, 341, Kaylee, 227,
53, Dominic, 338, Madeline, 226,
54, Isaac, 336, Brooklyn, 225,
55, Ian, 334, Gabrielle, 223,
56, Nathaniel, 333, Mia, 217,
57, Jackson, 304, Jasmine, 212,
58, Blake, 296, Mary, 212,
59, Cole, 289, Leah, 211,
60, Seth, 285, Alexandra, 210,
61, Chase, 282, Jordan, 206,
62, Hayden, 280, Rebecca, 206,
63, Aiden, 273, Zoe, 205,
64, Colin, 264, Claire, 198,
65, Devin, 262, Molly, 189,
66, Eric, 259, Lydia, 185,
67, Bryce, 250, Maria, 180,
68, Timothy, 250, Erin, 178,
69, Alex, 249, Courtney, 177,
70, Kevin, 249, Marissa, 171,
71, Lucas, 246, Nicole, 171,
72, Brayden, 245, Madelyn, 165,
73, Sean, 239, Kennedy, 164,
74, Cody, 238, Amanda, 163,
75, Brian, 232, Caroline, 162,
76, Carson, 229, Sierra, 159,
77, Garrett, 220, Shelby, 158,
78, Jayden, 215, Breanna, 157,
79, Carter, 214, Avery, 152,
80, Trevor, 209, Cheyenne, 151,
81, Ashton, 204, Danielle, 149,
82, Gage, 202, Bailey, 148,
83, Caden, 198, Kylee, 148,
84, Steven, 196, Sara, 148,
85, Jaden, 194, Jillian, 147,
86, Dakota, 191, Margaret, 142,
87, Maxwell, 189, Alexandria, 141,
88, Xavier, 188, Jada, 141,
89, Grant, 184, Lily, 141,
90, Kaden, 183, Angel, 140,
91, Richard, 179, Alexa, 139,
92, Riley, 178, Isabelle, 139,
93, Landon, 177, Kelsey, 138,
94, Collin, 175, Jennifer, 134,
95, Kaleb, 174, Kathryn, 134,
96, Brady, 167, Gabriella, 132,
97, Jared, 163, Mariah, 132,
98, Patrick, 158, Amber, 126,
99, Wyatt, 158, Katie, 126,
100, Mark, 153, Nevaeh, 126,