1, Jose, 2915, Emily, 2323
2, Jacob, 2532, Ashley, 1711
3, Joshua, 2241, Madison, 1624
4, Michael, 2116, Emma, 1434
5, Daniel, 2113, Alyssa, 1374
6, Christopher, 2084, Abigail, 1346
7, David, 1992, Alexis, 1345
8, Juan, 1981, Hannah, 1294
9, Matthew, 1857, Samantha, 1278
10, Jonathan, 1768, Brianna, 1186
11, Ethan, 1708, Victoria, 1176
12, Angel, 1661, Elizabeth, 1140
13, Anthony, 1616, Jennifer, 1102
14, Andrew, 1599, Sarah, 1070
15, Christian, 1591, Lauren, 1016
16, Joseph, 1528, Kayla, 1004
17, Brandon, 1502, Natalie, 1001
18, Luis, 1475, Isabella, 984
19, John, 1450, Jessica, 957
20, Jesus, 1449, Mia, 904
21, William, 1429, Maria, 863
22, Kevin, 1252, Andrea, 837
23, Ryan, 1239, Stephanie, 792
24, Gabriel, 1237, Jasmine, 791
25, Alexander, 1213, Olivia, 775
26, Nathan, 1209, Destiny, 755
27, James, 1196, Chloe, 726
28, Nicholas, 1188, Taylor, 724
29, Carlos, 1178, Kimberly, 704
30, Dylan, 1168, Grace, 702
31, Adrian, 1146, Leslie, 697
32, Samuel, 1104, Sydney, 668
33, Caleb, 1065, Daniela, 667
34, Diego, 1062, Hailey, 648
35, Bryan, 1026, Alexandra, 633
36, Tyler, 1015, Kaitlyn, 631
37, Zachary, 998, Michelle, 616
38, Justin, 988, Vanessa, 604
39, Robert, 958, Savannah, 582
40, Isaac, 929, Evelyn, 575
41, Aaron, 919, Sophia, 575
42, Isaiah, 915, Katherine, 565
43, Benjamin, 905, Faith, 553
44, Alejandro, 900, Jacqueline, 548
45, Miguel, 886, Anna, 545
46, Eric, 879, Gabriela, 544
47, Jorge, 861, Avery, 540
48, Austin, 845, Haley, 540
49, Jason, 842, Rachel, 536
50, Victor, 840, Melanie, 535
51, Elijah, 802, Trinity, 533
52, Noah, 794, Alexa, 528
53, Julian, 788, Angela, 519
54, Jordan, 784, Ana, 516
55, Logan, 779, Megan, 496
56, Cameron, 742, Makayla, 490
57, Thomas, 682, Diana, 489
58, Luke, 681, Zoe, 486
59, Sebastian, 681, Morgan, 467
60, Eduardo, 674, Jocelyn, 466
61, Jackson, 674, Kaylee, 465
62, Oscar, 670, Brooke, 461
63, Mason, 667, Angelina, 454
64, Ricardo, 644, Valeria, 440
65, Xavier, 641, Melissa, 430
66, Aidan, 638, Jordan, 427
67, Hunter, 630, Karen, 424
68, Nathaniel, 582, Sara, 414
69, Francisco, 580, Lizbeth, 413
70, Adam, 576, Amanda, 410
71, Gavin, 567, Kylie, 409
72, Alexis, 566, Amber, 408
73, Hayden, 564, Katelyn, 408
74, Charles, 557, Arianna, 403
75, Alex, 552, Allison, 402
76, Connor, 547, Madeline, 399
77, Ivan, 546, Audrey, 397
78, Cristian, 540, Alondra, 395
79, Evan, 539, Daisy, 393
80, Brian, 538, Isabel, 392
81, Javier, 526, Marissa, 391
82, Jeremiah, 520, Sofia, 390
83, Edgar, 516, Adriana, 384
84, Jesse, 515, Briana, 384
85, Alan, 514, Karla, 384
86, Antonio, 498, Alejandra, 382
87, Seth, 497, Caroline, 382
88, Fernando, 493, Gabriella, 375
89, Mark, 493, Ariana, 374
90, Cesar, 491, Julia, 372
91, Joel, 487, Nicole, 366
92, Jayden, 479, Amy, 357
93, Hector, 474, Ava, 357
94, Roberto, 471, Bailey, 354
95, Steven, 471, Mackenzie, 354
96, Blake, 468, Angelica, 350
97, Richard, 468, Rebecca, 347
98, Devin, 460, Mary, 346
99, Andres, 457, Valerie, 339
100, Sean, 454, Karina, 329